Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deinococcus-Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	FBP	Firmicutes	Fusobacteria	Gemmatimonadetes	Kiritimatiellaeota	Patescibacteria	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Tenericutes	Thaumarchaeota	Verrucomicrobia	WPS-2	NA
SG17.10M.S49	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14130	0	21025	0	0	0	0	50
SG17.11F.S39	0	780	0	94	0	0	0	0	0	0	0	0	324	0	0	0	0	0	62486	0	20561	23	0	18	0	62
SG17.11M.S50	0	37	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	15	38941	0	15020	0	0	7	0	35
SG17.12M.S51	0	419	0	603	0	0	0	0	0	0	0	0	778	0	0	0	0	0	41094	0	4651	0	0	0	0	175
SG17.13M.S52	0	86	0	1	0	0	0	0	0	0	0	0	120	0	0	0	0	0	27520	0	12082	0	0	0	0	7
SG17.14M.S53	0	227	0	48	0	0	0	0	0	0	0	0	112	0	0	0	37	0	23073	0	17437	0	0	0	0	59
SG17.15M.S54	0	50	0	80	0	0	0	0	0	0	0	0	226	0	0	0	0	0	433	0	48507	0	0	0	0	12
SG17.16M.S55	0	78	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	23534	0	0	0	0	50
SG17.17M.S56	29	273	0	79	0	0	0	0	0	0	0	0	64	0	0	0	0	0	33529	0	7127	0	0	0	0	114
SG17.1F.S29	0	192	0	0	0	0	0	0	0	0	0	0	32	60	0	0	0	0	75299	0	368	0	0	86	0	318
SG17.1M.S40	0	1608	0	1017	0	0	93	0	0	0	0	0	0	0	0	0	0	0	3688	0	5	0	0	0	0	538
SG17.2F.S30	0	12	0	11	0	0	0	0	0	0	0	0	24	0	0	0	0	0	81052	0	13496	0	0	0	0	46
SG17.2M.S41	0	1861	0	335	0	0	0	0	156	0	0	0	0	0	0	0	0	0	22029	0	15	0	0	0	0	1799
SG17.3F.S31	0	494	0	66	0	0	0	0	0	0	0	0	61	0	0	0	1	0	58418	0	1	0	0	0	0	53
SG17.3M.S42	0	1037	0	75	0	0	0	0	0	130	0	0	66	0	0	0	20	0	23575	0	38248	0	0	0	0	87
SG17.4F.S32	0	134	0	137	0	0	0	0	0	0	0	0	38	0	0	0	0	45	71050	0	5	0	0	0	0	90
SG17.4M.S43	0	491	0	251	0	71	0	332	0	0	0	0	51	0	0	0	0	0	33802	0	3	0	0	0	0	110
SG17.5F.S33	0	76	0	76	0	0	0	0	0	0	0	0	36	0	0	0	0	0	58445	0	4	0	0	0	0	50
SG17.5M.S44	0	66	0	34	0	0	0	0	0	0	0	0	63	0	0	0	0	0	53478	0	11297	0	0	0	0	81
SG17.6F.S34	12	2	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	25	50115	0	16	0	0	0	0	75
SG17.6M.S45	0	126	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	51010	0	4178	0	0	0	0	21
SG17.7F.S35	0	204	0	13	0	0	0	0	0	0	0	0	103	0	0	0	0	0	71853	0	18351	0	0	0	0	138
SG17.7M.S46	0	1623	0	384	0	0	0	0	0	0	0	0	426	0	0	0	0	0	11764	0	4	0	0	0	0	212
SG17.8F.S36	0	75	0	1	0	0	0	0	0	0	0	0	31	0	0	0	2	0	83659	0	37	0	0	0	0	105
SG17.8M.S47	0	540	0	135	0	0	0	0	0	0	0	0	85	0	0	0	0	0	28404	0	32423	0	0	0	0	68
SG17.9F.S37	0	92	0	9	0	0	0	0	0	0	0	0	44	0	0	0	0	0	62701	0	13404	0	0	0	0	87
SG17.9M.S48	0	87	0	165	0	0	0	0	0	0	0	0	107	0	0	0	108	0	55634	0	1255	0	0	0	0	95
TSA17.1F.S28	0	46	0	79	0	0	0	0	0	0	0	0	123	0	0	0	0	8	74352	0	1	0	0	28	0	108
TSA17.1M.S27	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80199	0	3	0	0	1	0	35
WW18.10M.S20	0	47	0	11	0	0	0	0	0	0	0	0	27	0	0	0	0	0	35359	0	8135	0	0	0	0	50
WW18.1F.S8	0	48	0	75	0	0	11	0	0	0	0	0	5	0	0	0	0	0	83713	0	3	0	0	0	0	27
WW18.1M.S11	0	5490	0	454	0	0	0	0	0	0	0	0	776	0	0	0	0	19	1943	0	3	0	0	0	0	144
WW18.2F.S9	25	403	0	1	0	110	0	0	0	0	0	0	43	0	0	0	7	57	60473	0	2611	0	0	19	0	36
WW18.2M.S12	0	66	0	0	21	0	0	0	0	0	0	0	43	0	0	0	0	0	45192	0	28194	0	0	0	0	133
WW18.3F.S10	0	97	0	130	0	0	0	0	0	0	0	0	16	0	0	0	0	0	68352	0	2	0	0	0	0	136
WW18.3M.S13	0	3550	0	64	0	0	72	0	0	0	0	0	116	0	0	0	0	0	25163	0	9616	0	0	0	0	124
WW18.4M.S14	0	670	0	128	0	0	0	0	0	0	0	0	89	0	0	0	12	4	42808	0	1171	0	0	0	0	37
WW18.5M.S15	0	3569	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4438	0	35224	0	0	0	0	165
WW18.6M.S16	0	3147	0	2376	0	0	0	0	0	0	0	0	617	0	0	0	0	0	7954	0	10931	0	0	0	0	726
WW18.7M.S17	8	2330	0	573	0	0	0	0	0	0	82	0	870	87	0	0	0	0	6100	0	24230	0	0	0	0	586
WW18.8M.S18	0	2028	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66898	0	17	0	0	170	0	72
WW18.9M.S19	0	78	0	110	0	0	0	0	0	0	0	0	18	0	0	0	0	0	46912	0	8	0	0	0	0	101
YR17.12F.S25	0	8	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	79193	0	4	0	0	0	0	13
YR17.13F.S26	10	144	0	11	0	0	0	0	0	0	0	0	80	0	0	0	0	0	56323	0	1	0	0	0	0	26
YR17.1M.S24	0	2230	0	1652	0	0	0	0	0	0	0	0	6954	502	0	0	0	0	7671	0	15	0	15	97	0	235
YR17.2M.S57	0	14	0	86	0	0	0	0	0	0	0	0	51	147	0	0	0	0	145	0	30112	0	0	15	0	119
YR17.3M.S58	0	45	0	807	0	0	0	0	0	0	0	0	45	0	0	0	8	0	18022	0	18355	0	0	0	0	13
YR17.4M.S59	0	282	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39737	0	14	0	0	0	0	62
YR17.5M.S60	0	25	0	116	0	0	40	0	0	0	0	0	84	0	0	0	0	0	31792	0	2989	0	0	0	0	103
YR17.6M.S61	0	18	0	31	0	0	0	0	0	0	0	0	94	0	0	0	0	0	17966	0	1	0	0	0	0	37
