[Eubacterium]_coprostanoligenes_group	[Ruminococcus]_gauvreauii_group	1174-901-12	AAP99	Acidiphilium	Acinetobacter	Actinobacillus	Actinomyces	Actinomycetospora	Adhaeribacter	Aeromicrobium	Afipia	Akkermansia	Alistipes	Alloprevotella	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Altererythrobacter	Amnibacterium	Anaerobacillus	Anaerococcus	Anaeromyxobacter	Anaerostipes	Anaplasma	Arcicella	Arenimonas	Aurantimicrobium	Aureimonas	Bacillus	Bacteroides	BD1-7_clade	Bdellovibrio	Belnapia	Bergeyella	Blautia	Borrelia	Borreliella	Bosea	Brachybacterium	Brevibacterium	Brevundimonas	Bryobacter	Burkholderia-Caballeronia-Paraburkholderia	Caedibacter	Candidatus_Aquiluna	Candidatus_Cardinium	Candidatus_Megaira	Candidatus_Methanomethylophilus	Candidatus_Methanoplasma	Candidatus_Nitrocosmicus	Candidatus_Nostocoida	Candidatus_Paracaedibacter	Candidatus_Saccharimonas	Candidatus_Uzinura	Capnocytophaga	Cellulomonas	Cellvibrio	Chryseobacterium	Chthoniobacter	Chthonomonas	Cloacibacterium	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_12	Clostridium_sensu_stricto_13	Clostridium_sensu_stricto_2	Coprococcus_2	Coriobacteriaceae_UCG-003	Corynebacterium	Corynebacterium_1	Cutibacterium	Cytophaga	Deefgea	Deinococcus	Devosia	Dietzia	Dokdonella	Dongia	DSSD61	Dyadobacter	Ehrlichia	Ellin6067	Enhydrobacter	Epulopiscium	Erysipelotrichaceae_UCG-004	Exiguobacterium	Family_XIII_UCG-001	Ferruginibacter	Fibrella	Fimbriiglobus	Finegoldia	Flavobacterium	Flexilinea	Fluviicola	Fodinicola	Fusobacterium	Gaiella	GCA-900066575	Gemella	Gemmata	Geodermatophilus	Haemophilus	Halomonas	Helicobacter	hgcI_clade	Hirschia	Huanghella	Hymenobacter	Iamia	IMCC26207	IS-44	Jatrophihabitans	Kineococcus	Kingella	Kocuria	Labrys	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lactobacillus	Lautropia	Lawsonella	Legionella	Leptotrichia	Leucobacter	Luteibacter	Luteimonas	Luteolibacter	Lysobacter	Marmoricola	Massilia	Megamonas	Mesorhizobium	Methanobrevibacter	Methylobacterium	Methylopila	Methylorosula	Methylotenera	Microbacterium	Micrococcus	MND1	Mogibacterium	Moraxella	Mucilaginibacter	Muribaculum	Mycobacterium	Nakamurella	Neisseria	Nocardioides	Nosocomiicoccus	Noviherbaspirillum	Novosphingobium	Ochrobactrum	Ohtaekwangia	Oligoflexus	Paenibacillus	Pajaroellobacter	Paludibaculum	Parasutterella	Patulibacter	Pedobacter	Peptoniphilus	Phyllobacterium	Pir4_lineage	Planctomicrobium	Polycyclovorans	Polynucleobacter	Porphyromonas	Prevotella	Prevotella_2	Prevotella_6	Prevotella_7	Prosthecobacter	Pseudarcicella	Pseudochrobactrum	Pseudomonas	Pseudonocardia	Psychroglaciecola	Quadrisphaera	Ralstonia	RB41	Reyranella	Rhizorhapis	Rhodococcus	Rhodoplanes	Rhodopseudomonas	Rhodovarius	Rickettsia	Rickettsiella	Rikenellaceae_RC9_gut_group	Roseomonas	Rothia	Ruminococcaceae_NK4A214_group	Ruminococcus_1	Ruminococcus_2	Schlesneria	SH-PL14	Singulisphaera	Solirubrobacter	Solitalea	Sphaerotilus	Sphingobacterium	Sphingomonas	Sphingopyxis	Spirosoma	Sporichthya	Staphylococcus	Stenotrophobacter	Stenotrophomonas	Streptococcus	Streptomyces	SWB02	Tardiphaga	Tepidimonas	Tepidisphaera	Terriglobus	Terrimonas	Thermicanus	Turneriella	Veillonella	Verticia	WCHB1-32	Williamsia	Wolbachia	NA
CA17.22F.S67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	6858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
CE17.1F.S78	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	42	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	80994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	91
CR17.13F.S68	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1379	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3713	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	7936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	109
CR17.14F.S69	0	0	20	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	22	0	0	6	0	8	0	0	0	1	0	0	0	15	0	5	0	0	0	0	0	0	19	0	0	0	0	0	14	0	0	21	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0	17	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	7	0	12	0	0	0	0	0	0	0	20	0	0	0	20	0	7	0	0	68	0	0	0	126	0	0	0	0	0	0	0	0	0	0	46	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	20	0	0	0	0	0	0	0	0	0	25	0	0	0	0	18	0	17	0	13	0	0	30524	0	0	0	0	0	0	0	0	0	16	41	0	0	0	363	0	13	0	0	15	0	6	0	7	13	0	0	0	41	0	0	0	0	0	0	512	726
CR17.15F.S70	0	16	29	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	33701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	167
CR17.16F.S71	0	0	43	0	12	0	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	3	0	1448	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	238	0	0	0	0	237	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	178	0	0	0	533	0	0	0	0	0	0	0	0	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	28	0	0	0	0	0	0	0	0	38638	0	0	0	0	0	0	0	0	0	0	7	0	0	0	669	0	62	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	31	0	1624
CR17.17F.S72	0	0	48	0	100	0	0	0	0	0	0	0	0	0	0	21	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	77	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	73	0	0	0	162	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	9	0	0	0	0	0	0	0	9	0	62560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	3	0	0	401	288
CR17.18F.S73	0	0	51	0	27	0	0	0	0	0	11	0	0	0	0	63	0	7	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	11	0	21	0	0	0	0	0	0	0	0	0	173	0	0	0	0	228	0	15	0	171	1	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	8	0	0	0	0	0	0	0	25	0	52822	0	0	0	0	0	0	0	0	0	0	25	0	0	0	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240
CR17.19F.S74	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	38	0	0	0	93	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	2	0	0	0	8	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	1	0	0	0	0	0	0	11	0	0	0	40373	0	0	0	0	0	0	0	0	0	25	0	0	0	0	275	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723
CR17.20F.S75	0	0	92	0	61	0	0	0	49	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	9633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	1	0	4	0	0	37	1	0	0	0	0	0	34489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	17	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	15	0	0	0	0	105	0	0	0	92	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	44239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	90	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1459
