11-24	Absconditabacteriales_(SR1)	Acetobacterales	Acidobacteriales	Actinomycetales	Anaerolineales	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Bdellovibrionales	Betaproteobacteriales	Blastocatellales	Caedibacterales	Campylobacterales	Candidatus_Kaiserbacteria	Candidatus_Peribacteria	Candidatus_Vogelbacteria	Candidatus_Zambryskibacteria	Caulobacterales	CCD24	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroplast	Chthoniobacterales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deinococcales	Diplorickettsiales	Dongiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gastranaerophilales	Gemmatales	Gemmatimonadales	IMCC26256	Isosphaerales	Kallotenuales	Kineosporiales	Lactobacillales	Legionellales	Leptospirales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Micromonosporales	Microtrichales	Mollicutes_RF39	Myxococcales	NB1-j	Nitrososphaerales	Oceanospirillales	Oligoflexales	Paracaedibacterales	Pasteurellales	PB19	Pedosphaerales	PeM15	Pirellulales	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Pyrinomonadales	Reyranellales	Rhizobiales	Rhodobacterales	Rickettsiales	Rokubacteriales	Saccharimonadales	Salinisphaerales	Selenomonadales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Subgroup_7	Tepidisphaerales	Thermomicrobiales	Unknown_Order	Verrucomicrobiales	WCHB1-41	Xanthomonadales	NA
RDWB17.1M.S79	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	65	0	0	28	0	0	0	806	537	0	0	0	0	0	115	31	0	0	0	0	0	0	0	0	0	454	0	0	0	0	144	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	1	714	46	0	0	2464	0	4659	0	0	0	0	0	0	0	1433	2	0	0	0	0	0	0	0	0	357
RDWB17.2F.S81	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	23	32	0	0	0	0	0	11	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	315	3	0	0	132	0	42637	0	0	0	0	0	0	0	296	1	0	0	0	0	0	0	0	0	81
RDWB17.3F.S82	0	0	74	4	0	0	0	7	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	702	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	10	19	0	0	0	0	0	0	0	0	0	0	0	1	777	0	0	0	1916	0	43907	0	0	0	0	0	0	92	511	121	0	0	0	0	0	0	0	883	59
RDWB17.4F.S83	0	0	15	0	0	0	0	0	0	0	34	769	0	0	0	0	0	0	0	109	0	0	0	0	14	0	0	0	25	0	494	437	16	0	0	0	0	48	23	0	0	0	0	0	0	0	0	19	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1404	0	0	0	735	0	47947	0	0	0	0	0	1	280	837	10	0	0	0	0	0	17	0	10	58
SG17.10F.S38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	15	0	57593	0	0	0	0	0	0	0	19	2	0	0	0	0	0	6	0	37	52
SG17.10M.S49	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	14077	0	0	0	0	0	0	0	0	21025	0	0	0	0	0	0	0	14	50
SG17.11F.S39	0	0	0	0	0	0	0	0	76	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	682	0	6	23	0	0	0	0	0	0	79	0	0	0	0	0	0	2	178	0	0	0	86	0	61769	0	0	0	188	0	0	0	218	20561	0	0	0	0	0	18	0	36	63
SG17.11M.S50	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	2	17	0	0	0	27	0	38792	0	0	0	0	0	0	0	18	15020	0	0	0	0	0	7	0	26	35
SG17.12M.S51	0	0	0	0	0	0	0	0	253	0	0	317	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	137	0	0	0	0	0	0	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	40510	0	0	0	0	0	0	0	34	4651	0	0	0	0	0	0	0	0	953
SG17.13M.S52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	53	0	27440	0	0	0	0	0	0	0	27	12082	0	0	0	0	0	0	0	0	7
SG17.14M.S53	0	37	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	106	15	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	60	6	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	55	0	0	0	0	73	0	22729	0	0	0	0	0	0	0	151	17437	0	0	0	0	0	0	0	0	176
SG17.15M.S54	0	0	0	0	0	0	0	41	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	50	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	147	0	0	0	0	0	0	0	0	48507	0	0	0	0	0	0	0	0	12
SG17.16M.S55	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	51	2	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	12	0	687	0	0	0	0	0	0	0	51	23534	0	0	0	0	0	0	0	0	96
SG17.17M.S56	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	64	0	125	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	19	0	0	0	78	0	33363	0	0	0	0	29	14	18	46	7127	0	0	0	0	0	0	0	0	114
SG17.1F.S29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	31	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	75038	0	0	0	0	0	0	0	122	368	0	0	0	0	0	86	0	0	337
SG17.1M.S40	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	177	0	0	0	0	0	93	0	0	0	0	495	694	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	546	0	0	0	1990	0	102	0	0	0	0	0	0	323	301	5	0	0	0	0	0	0	0	0	696
SG17.2F.S30	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	25	0	0	0	24	0	80916	0	0	0	0	0	0	0	29	13496	0	0	0	0	0	0	0	0	93
SG17.2M.S41	0	0	13	0	0	0	156	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	962	0	335	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	902	0	0	0	880	0	16380	0	0	0	0	0	0	0	1737	15	0	0	0	0	0	0	0	0	2093
SG17.3F.S31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	6	0	58358	0	0	0	0	0	0	50	0	1	0	0	0	0	0	0	0	0	133
SG17.3M.S42	0	0	0	0	0	0	0	66	31	0	0	132	0	0	130	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	1	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	132	0	0	0	87	0	22843	0	0	0	0	0	0	0	380	38248	0	0	0	0	0	0	0	0	105
SG17.4F.S32	0	0	2	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	44	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	14	182	0	0	0	73	0	70636	0	0	0	38	0	0	41	34	5	0	0	0	0	0	0	0	15	144
SG17.4M.S43	0	0	0	0	0	0	0	51	0	0	0	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	126	0	332	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	311	0	0	0	0	0	33401	0	0	0	0	0	0	0	0	3	0	0	0	71	0	0	0	51	110
SG17.5F.S33	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	39	0	58301	0	0	0	0	0	0	45	70	4	0	0	0	0	0	0	0	0	50
SG17.5M.S44	0	0	0	0	26	0	0	0	1	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	1	0	0	0	0	58	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	9	0	0	53334	0	0	0	0	0	0	0	33	11297	0	0	0	0	0	0	0	0	81
SG17.6F.S34	12	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	18	0	6	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	2	4	0	0	0	8	0	49991	0	0	0	0	0	0	0	85	16	0	0	0	0	0	0	0	1	75
SG17.6M.S45	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	40	0	0	0	18	0	50814	0	0	0	0	0	0	0	88	4178	0	0	0	0	0	0	0	0	67
SG17.7F.S35	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	2	28	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	76	0	71581	0	0	0	0	0	0	0	114	18351	0	0	0	0	0	0	0	43	192
SG17.7M.S46	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	384	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	738	0	0	0	12	0	9643	0	0	0	0	0	0	0	561	4	0	0	0	0	0	0	0	0	732
SG17.8F.S36	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	31	0	46	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	83593	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	122
SG17.8M.S47	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	53	0	0	0	86	0	81	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	325	0	27671	0	0	0	0	0	0	1	294	32423	0	0	0	0	0	0	0	0	68
SG17.9F.S37	0	0	0	0	0	0	0	32	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	73	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	53	0	62376	0	0	0	0	0	0	0	110	13404	0	0	0	0	0	0	0	16	132
SG17.9M.S48	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	55608	0	108	0	0	0	0	0	20	1255	0	0	0	0	0	0	0	0	123
TSA17.1F.S28	0	0	0	0	0	0	0	62	20	0	0	30	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	23	0	0	0	0	26	0	59	19	0	0	0	0	0	0	8	0	0	61	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	215	0	74009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	9	108
TSA17.1M.S27	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	8	0	79906	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	62
WW18.10M.S20	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1221	0	0	0	78	0	32988	0	0	0	0	0	0	0	747	8135	0	0	0	0	0	0	0	0	78
WW18.1F.S8	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	38	74	0	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	316	0	0	0	148	0	82948	0	0	0	0	0	0	0	162	3	0	0	0	0	0	0	0	86	29
WW18.1M.S11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	775	0	0	0	0	4369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	334	403	0	0	0	1379	0	161	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	145
WW18.2F.S9	0	0	2	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	7	32	0	0	0	0	0	0	0	0	43	0	134	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	6	0	0	0	0	0	39	0	0	21	4228	0	0	0	115	0	55503	0	0	0	0	0	0	0	440	2611	9	0	0	0	0	19	0	33	202
WW18.2M.S12	0	0	0	0	0	0	0	43	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	49	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	190	0	0	0	406	0	44299	0	0	0	0	0	0	0	141	28194	0	0	0	0	0	0	0	0	133
WW18.3F.S10	0	0	0	0	0	0	0	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	24	34	77	0	0	0	14	0	17	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	55	0	68161	0	0	0	0	0	0	36	56	2	0	0	0	0	0	0	0	0	136
WW18.3M.S13	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	1230	62	0	0	0	85	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	660	0	0	0	343	0	23824	0	0	0	0	0	0	0	220	9616	0	0	0	0	0	0	0	0	155
WW18.4M.S14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	0	0	121	0	0	0	0	0	7	172	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	89	0	0	0	0	475	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	382	0	0	0	368	0	41998	0	0	0	0	0	0	0	51	1171	0	0	0	0	0	0	0	0	40
WW18.5M.S15	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	19	0	0	0	85	0	206	40	0	101	0	0	0	0	0	0	73	0	0	0	0	0	2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	44	0	0	0	503	0	114	0	0	0	0	0	0	0	3351	35224	0	0	0	0	0	0	0	0	167
WW18.6M.S16	0	0	0	0	0	0	0	0	905	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	1193	0	0	0	0	0	0	1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814	0	0	0	0	2483	0	1615	0	0	0	0	0	0	0	711	10931	0	0	0	0	0	0	0	303	3275
WW18.7M.S17	0	0	0	8	0	0	0	4	319	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	27	361	0	0	0	0	34	0	0	0	87	0	0	0	0	0	0	0	0	625	0	0	0	82	1867	0	0	0	0	0	0	0	26	0	88	0	0	0	0	0	0	75	92	0	0	0	330	0	4266	0	0	0	9	0	0	0	1028	24230	0	0	0	0	0	0	0	85	844
WW18.8M.S18	0	0	117	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	926	140	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1278	0	0	0	1428	0	61255	0	0	0	0	0	0	36	1131	17	0	0	0	0	0	0	0	0	531
WW18.9M.S19	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	79	0	46668	0	0	0	0	0	0	8	147	8	0	0	0	0	0	0	0	0	180
YR17.12F.S25	0	0	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	144	0	75888	0	0	0	0	0	0	0	125	4	0	0	0	0	0	0	0	2768	80
YR17.13F.S26	0	0	0	0	0	0	0	80	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	628	0	0	0	69	0	55432	0	0	0	0	0	0	0	181	1	0	0	0	0	10	0	0	1	29
YR17.1M.S24	0	0	0	0	377	0	0	920	603	0	0	1352	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	488	0	0	0	0	5	0	669	0	502	0	0	0	0	0	0	0	0	4573	0	0	0	0	1270	0	0	0	0	0	15	0	155	0	1597	0	0	0	0	0	0	95	1488	0	0	0	391	0	1785	0	0	0	1461	0	0	0	879	15	0	0	0	0	0	51	0	0	536
YR17.2M.S57	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	20	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	49	0	73	0	0	0	0	0	0	66	0	30112	0	0	0	0	0	15	0	0	142
YR17.3M.S58	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	25	646	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	17989	0	0	0	0	0	0	0	0	18355	0	0	0	0	0	0	0	0	58
YR17.4M.S59	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	47	93	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	12	53	0	39226	0	0	0	0	0	28	0	264	14	0	0	0	0	0	0	0	0	70
YR17.5M.S60	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	17	31113	0	0	0	0	0	0	49	0	2989	0	0	0	0	0	0	0	0	183
YR17.6M.S61	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	31	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	15	14	17904	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	77
