11-24	Absconditabacteriales_(SR1)	Acetobacterales	Acidobacteriales	Actinomycetales	Anaerolineales	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Bdellovibrionales	Betaproteobacteriales	Blastocatellales	Caedibacterales	Campylobacterales	Candidatus_Kaiserbacteria	Candidatus_Peribacteria	Candidatus_Vogelbacteria	Candidatus_Zambryskibacteria	Caulobacterales	CCD24	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroplast	Chthoniobacterales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deinococcales	Diplorickettsiales	Dongiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gastranaerophilales	Gemmatales	Gemmatimonadales	IMCC26256	Isosphaerales	Kallotenuales	Kineosporiales	Lactobacillales	Legionellales	Leptospirales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Micromonosporales	Microtrichales	Mollicutes_RF39	Myxococcales	NB1-j	Nitrososphaerales	Oceanospirillales	Oligoflexales	Paracaedibacterales	Pasteurellales	PB19	Pedosphaerales	PeM15	Pirellulales	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Pyrinomonadales	Reyranellales	Rhizobiales	Rhodobacterales	Rickettsiales	Rokubacteriales	Saccharimonadales	Salinisphaerales	Selenomonadales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Subgroup_7	Tepidisphaerales	Thermomicrobiales	Unknown_Order	Verrucomicrobiales	WCHB1-41	Xanthomonadales	NA
CE17.1F.S78	0	0	0	0	0	0	0	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	52	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	60	0	0	0	0	0	80997	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	43
CR17.13F.S68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	6	0	11741	0	0	0	0	0	0	0	3	1379	0	0	0	0	0	0	0	1	11
CR17.14F.S69	0	0	36	0	0	0	0	0	0	10	0	111	38	0	0	0	0	0	0	31	15	0	6	49	0	0	21	0	0	0	88	64	0	0	17	0	0	0	9	0	0	0	0	0	0	16	9	13	6	0	0	0	0	95	0	11	0	20	0	19	0	0	0	0	0	0	0	0	0	2	10	34	0	18	0	223	0	31038	13	0	20	0	0	41	9	457	1	0	0	17	0	20	7	0	33	319
CR17.15F.S70	0	0	0	0	0	0	0	13	23	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	64	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	9	0	0	79	0	33717	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	7	72
CR17.16F.S71	0	0	53	0	0	0	0	72	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	71	0	59	308	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	323	0	0	0	0	0	308	0	1	0	1	0	0	8	0	0	0	0	0	0	0	0	0	27	15	0	0	0	663	0	38670	0	0	0	0	0	13	37	1148	1448	0	0	5	0	0	0	0	6	146
CR17.17F.S72	0	0	100	0	0	0	0	7	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	86	1	0	0	0	14	0	0	3	0	17	19	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	205	0	0	0	289	0	62961	0	0	0	0	0	0	0	419	1	0	0	0	0	0	0	0	12	128
CR17.18F.S73	0	0	27	0	0	0	0	15	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	162	36	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	663	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	433	0	0	0	445	0	52824	0	0	0	0	0	37	20	1163	0	0	0	0	0	0	0	0	191	109
CR17.19F.S74	0	0	43	0	0	0	0	8	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	28	18	0	0	0	0	0	35	0	0	0	0	0	0	0	25	0	0	4	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	67	1	0	0	252	0	40373	0	31	0	0	0	0	340	343	0	0	0	0	0	0	0	0	0	47
CR17.20F.S75	0	0	111	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	8	456	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	106	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	27	49	0	0	296	0	79502	0	0	0	0	0	0	14	256	9633	0	0	0	0	0	0	0	15	94
CR17.21F.S76	0	0	12	0	0	0	0	0	0	0	0	173	0	20	0	0	0	0	0	27	0	0	0	0	17	0	0	0	45	0	23	203	0	0	0	12	0	5	0	0	10	0	9	0	0	0	0	37	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	64	0	0	0	170	0	55909	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	19	219
