0319-6G20	37-13	67-14	Acetobacteraceae	Acidobacteriaceae_(Subgroup_1)	Actinomycetaceae	AKIW781	Akkermansiaceae	Amoebophilaceae	Anaerolineaceae	Anaplasmataceae	Archangiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	BIrii41	Blastocatellaceae	Blattabacteriaceae	Brevibacteriaceae	Burkholderiaceae	Caedibacteraceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chitinibacteraceae	Chitinophagaceae	Chthoniobacteraceae	Chthonomonadaceae	Clostridiaceae_1	Corynebacteriaceae	Crocinitomicaceae	Cryptosporangiaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Devosiaceae	Dietziaceae	Diplorickettsiaceae	Dongiaceae	Enterobacteriaceae	env.OPS_17	Erysipelotrichaceae	Family_X	Family_XI	Family_XI_2	Family_XI_2II	Family_XII	Flavobacteriaceae	Frankiaceae	Fusobacteriaceae	Gaiellaceae	Gemmataceae	Gemmatimonadaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hymenobacteraceae	Hyphomonadaceae	Iamiaceae	Ilumatobacteraceae	Isosphaeraceae	JG30-KF-CM45	KF-JG30-B3	Kineosporiaceae	Labraceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptospiraceae	Leptotrichiaceae	Methanobacteriaceae	Methanomethylophilaceae	Methylophilaceae	Methylopilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Microscillaceae	Microtrichaceae	Mitochondria	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Nakamurellaceae	Neisseriaceae	Nitrosomonadaceae	Nitrososphaeraceae	Nocardiaceae	Nocardioidaceae	NS11-12_marine_group	Oligoflexaceae	p-2534-18B5_gut_group	P3OB-42	Paenibacillaceae	Paracaedibacteraceae	Parachlamydiaceae	Pasteurellaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Pyrinomonadaceae	Reyranellaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rickettsiaceae	Rikenellaceae	Rubinisphaeraceae	Rubritaleaceae	Ruminococcaceae	Saccharimonadaceae	Saprospiraceae	SC-I-84	Schlesneriaceae	Solibacteraceae_(Subgroup_3)	Solimonadaceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Spirosomaceae	Spongiibacteraceae	Sporichthyaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Tepidisphaeraceae	UBA12409	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	WD2101_soil_group	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	NA
CA17.22F.S67	0	0	0	0	0	0	0	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22841	0	0	0	0	0	0	0	0	0	0	0	0	0	6858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
CE17.1F.S78	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	4	34	0	0	0	0	0	0	0	80994	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
CR17.13F.S68	0	0	0	0	0	0	0	0	0	0	3805	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	2	0	0	0	7936	0	0	0	0	0	0	0	0	0	0	0	0	3	1379	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11
CR17.14F.S69	0	0	0	36	0	0	9	0	0	0	512	0	0	0	0	0	147	12	38	0	0	93	0	0	24	14	0	0	49	21	0	0	42	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	11	16	0	9	13	0	0	0	0	0	0	0	0	0	0	61	20	0	0	0	0	0	0	46	9	0	18	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	34	0	18	0	28	20	0	0	30526	0	0	7	0	0	0	0	0	0	20	41	9	457	1	40	6	0	0	6	0	0	0	20	0	0	17	0	39	13	367
CR17.15F.S70	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	0	55	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	9	0	0	0	0	16	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	9	0	0	12	7	0	0	33701	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	72
CR17.16F.S71	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	0	0	504	0	0	0	0	0	0	0	0	0	32	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	8	0	238	0	0	1	0	0	0	323	3	39	0	0	0	0	0	0	0	0	308	0	0	0	0	29	0	0	20	0	0	0	0	31	22	7	0	0	1	0	0	0	0	0	0	51	0	0	0	0	5	15	0	0	0	72	0	0	0	38641	0	0	0	0	0	0	0	0	0	0	13	30	1148	1448	70	0	0	0	0	0	5	0	0	0	0	0	0	0	6	219
CR17.17F.S72	0	0	0	100	0	0	0	0	0	0	401	0	0	7	0	0	219	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	14	0	0	0	0	0	0	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	205	0	0	0	36	12	0	0	62560	0	0	0	0	0	0	0	0	0	0	0	0	419	1	0	0	0	0	19	0	0	0	0	0	0	0	0	34	0	128
CR17.18F.S73	0	0	12	27	0	0	0	0	0	0	0	0	0	15	0	0	259	0	0	0	0	297	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	642	21	0	0	0	0	0	0	162	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	107	191	0	0	52824	0	0	0	0	0	0	0	0	0	0	25	20	1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	156
CR17.19F.S74	0	0	0	43	0	0	0	0	0	0	0	0	6	0	0	0	106	0	0	0	0	64	0	0	0	0	0	0	0	0	0	1	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	7	0	0	0	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	67	1	0	0	137	0	0	0	40373	0	0	0	0	31	0	0	0	0	0	0	340	343	0	12	0	0	0	4	0	0	0	0	0	0	0	0	9	0	47
CR17.20F.S75	0	0	0	111	0	0	0	0	0	0	35244	0	0	0	0	0	200	0	0	0	0	269	0	0	0	0	0	0	0	0	38	0	1	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	17	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	106	0	0	0	0	18	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	27	49	0	0	77	15	0	0	44240	0	0	0	0	0	0	0	0	0	0	0	14	256	9633	213	0	0	0	0	0	0	0	0	0	0	0	0	6	0	94
