0319-6G20	37-13	67-14	Acetobacteraceae	Acidobacteriaceae_(Subgroup_1)	Actinomycetaceae	AKIW781	Akkermansiaceae	Amoebophilaceae	Anaerolineaceae	Anaplasmataceae	Archangiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	BIrii41	Blastocatellaceae	Blattabacteriaceae	Brevibacteriaceae	Burkholderiaceae	Caedibacteraceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chitinibacteraceae	Chitinophagaceae	Chthoniobacteraceae	Chthonomonadaceae	Clostridiaceae_1	Corynebacteriaceae	Crocinitomicaceae	Cryptosporangiaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Devosiaceae	Dietziaceae	Diplorickettsiaceae	Dongiaceae	Enterobacteriaceae	env.OPS_17	Erysipelotrichaceae	Family_X	Family_XI	Family_XI_2	Family_XI_2II	Family_XII	Flavobacteriaceae	Frankiaceae	Fusobacteriaceae	Gaiellaceae	Gemmataceae	Gemmatimonadaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hymenobacteraceae	Hyphomonadaceae	Iamiaceae	Ilumatobacteraceae	Isosphaeraceae	JG30-KF-CM45	KF-JG30-B3	Kineosporiaceae	Labraceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptospiraceae	Leptotrichiaceae	Methanobacteriaceae	Methanomethylophilaceae	Methylophilaceae	Methylopilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Microscillaceae	Microtrichaceae	Mitochondria	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Nakamurellaceae	Neisseriaceae	Nitrosomonadaceae	Nitrososphaeraceae	Nocardiaceae	Nocardioidaceae	NS11-12_marine_group	Oligoflexaceae	p-2534-18B5_gut_group	P3OB-42	Paenibacillaceae	Paracaedibacteraceae	Parachlamydiaceae	Pasteurellaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Pyrinomonadaceae	Reyranellaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rickettsiaceae	Rikenellaceae	Rubinisphaeraceae	Rubritaleaceae	Ruminococcaceae	Saccharimonadaceae	Saprospiraceae	SC-I-84	Schlesneriaceae	Solibacteraceae_(Subgroup_3)	Solimonadaceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Spirosomaceae	Spongiibacteraceae	Sporichthyaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Tepidisphaeraceae	UBA12409	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	WD2101_soil_group	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	NA
IS17.29F.S92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	61939	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
IS17.30F.S93	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	126	0	0	0	0	0	0	13	0	0	0	16	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	16	0	0	0	0	0	0	0	72	26	0	0	0	46	0	0	0	33543	0	0	15	0	0	0	0	0	0	0	0	0	154	11490	24	0	0	0	0	0	0	0	0	0	0	0	0	19	0	55
IS17.37F.S94	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	27	0	0	0	0	0	0	1	82	0	0	0	0	0	0	0	38283	42	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
KF17.1M.S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	44356	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238
KF17.2M.S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	350	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	1215	0	0	0	0	7	7	202	0	0	0	0	475	144	0	0	0	0	0	0	0	0	340	0	0	0	0	566	409	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	228	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	1103
KF17.3M.S3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	526	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	1	0	0	0	0	0	0	0	76445	0	0	0	0	0	0	0	0	0	0	0	0	279	7	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	1272
KF17.4M.S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	250	0	0	0	0	40	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	316	2	0	0	53	0	0	0	60635	0	0	0	0	0	0	0	0	0	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	165
KF17.5M.S5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	55	24	0	56822	0	0	0	0	0	0	0	0	0	0	0	0	0	8958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
KF17.6M.S6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	36	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	0	0	80194	0	0	0	0	0	0	0	0	0	0	0	0	109	4	69	0	0	0	111	0	0	0	0	0	0	0	0	67	0	575
KF17.7M.S7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	33	0	0	0	0	0	0	0	71283	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	113
RDWB17.1F.S80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	119	0	0	0	0	329	0	0	16	0	0	0	28	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	61	11	6	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	48	0	0	0	0	381	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	143	0	0	0	57	0	0	0	48302	0	0	12	0	0	0	0	0	7	0	9	11	1532	11566	111	0	0	0	0	0	0	0	0	0	3	0	0	13	0	147
RDWB17.1M.S79	0	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0	1896	0	0	0	0	410	0	0	0	0	0	0	65	28	0	0	0	115	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	153	0	0	0	0	653	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	1	714	46	0	0	352	0	0	0	3205	0	0	0	0	0	0	0	0	0	0	0	0	1433	2	129	0	0	0	0	0	0	0	0	0	0	0	0	216	0	357
RDWB17.2F.S81	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	55	0	0	0	0	42	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	30	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	315	3	0	0	73	0	0	0	42635	0	0	0	0	0	0	0	0	0	0	0	0	296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	81
RDWB17.3F.S82	0	0	0	74	4	0	0	0	0	0	1	10	0	0	0	0	1700	0	0	0	0	101	0	0	0	0	0	0	0	0	0	7	97	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	313	0	0	0	0	292	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	777	0	0	0	158	883	0	0	43902	0	0	0	0	0	0	11	0	0	0	0	92	511	121	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	84
RDWB17.4F.S83	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	34	71	0	0	0	0	769	0	0	109	0	0	0	0	0	0	0	12	0	0	0	16	0	0	99	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	23	0	0	180	0	0	0	0	0	0	19	0	25	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	427	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1404	0	0	0	529	0	0	0	47947	0	11	1	0	0	0	0	0	0	0	1	280	837	10	257	0	0	0	0	0	0	0	0	0	16	0	42	36	10	58
SG17.10F.S38	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	74	0	0	0	0	13	0	0	57591	0	0	6	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	52
SG17.10M.S49	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	14	0	0	14026	0	0	0	0	0	0	0	0	0	0	0	0	0	21025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
SG17.11F.S39	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	54	0	0	0	0	120	0	23	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	44	0	0	6	0	0	0	45	0	0	0	0	6	0	0	0	0	0	0	0	0	79	0	0	0	0	0	76	0	2	178	0	0	0	28	36	0	0	61769	0	0	0	0	0	0	0	0	0	0	0	0	218	20561	0	0	0	0	112	0	0	0	0	188	0	0	0	0	0	90
SG17.11M.S50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	2	17	0	0	0	16	26	0	0	38792	0	0	7	0	0	0	0	0	0	0	0	0	18	15020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
SG17.12M.S51	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	233	0	0	0	0	0	0	0	40510	0	0	0	0	0	0	0	0	0	0	0	0	34	4651	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	953
SG17.13M.S52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	53	0	0	0	27440	0	0	0	0	0	0	0	0	0	0	0	0	27	12082	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	7
SG17.14M.S53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	60	0	6	0	0	0	0	0	50	0	0	0	0	20	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	55	0	0	0	0	16	0	0	0	22729	0	0	0	0	0	0	0	0	0	0	0	0	151	17437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213
SG17.15M.S54	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	59	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	80	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	48507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
SG17.16M.S55	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	12	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	404	0	0	0	0	0	33	0	0	0	0	0	0	51	23534	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	96
SG17.17M.S56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	23	0	0	0	0	0	0	2	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	19	0	0	0	62	0	0	0	33363	0	0	0	0	0	0	0	0	29	0	14	18	46	7127	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	114
SG17.1F.S29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	128	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75038	0	0	0	1	0	0	0	0	0	0	0	0	122	368	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	337
SG17.1M.S40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1066	0	0	0	0	412	0	0	177	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	633	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	546	0	0	0	924	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	323	301	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789
SG17.2F.S30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	25	0	0	0	14	0	0	0	80916	0	0	0	0	0	0	0	0	0	0	0	0	29	13496	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	94
SG17.2M.S41	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	640	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	65	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136	0	0	0	0	0	0	0	61	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	902	0	0	0	175	0	0	0	16378	0	0	0	0	0	0	0	0	0	0	0	0	1737	15	0	0	241	0	0	0	0	156	0	0	0	0	0	0	0	2093
SG17.3F.S31	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	58232	0	0	0	0	0	0	0	0	0	0	0	50	0	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	134
SG17.3M.S42	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	87	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	384	0	0	1	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	131	0	0	0	0	0	0	83	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	121	132	0	0	0	0	0	0	0	22840	0	0	0	0	0	0	0	0	0	0	0	0	380	38248	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	108
SG17.4F.S32	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	5	64	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	33	0	0	0	0	18	0	21	0	0	0	0	0	0	42	0	0	0	0	0	0	0	14	182	0	0	0	12	0	0	0	70636	0	0	0	0	0	0	0	0	0	0	0	0	34	5	0	0	0	0	0	0	0	0	0	38	0	0	0	20	15	144
SG17.4M.S43	0	0	0	0	0	0	0	0	0	0	1	0	0	51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	126	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	92	189	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	51	0	0	33400	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148
SG17.5F.S33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	45	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	16	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0	0	0	58301	0	0	0	0	0	0	0	0	0	0	0	0	70	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
SG17.5M.S44	0	0	0	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	38	0	0	0	9	0	0	0	0	53332	0	0	0	0	0	0	0	0	0	0	0	0	33	11297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81
SG17.6F.S34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	7	0	0	0	49991	0	25	0	0	0	0	0	0	0	0	0	0	85	16	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	88
SG17.6M.S45	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	40	0	0	0	0	0	0	0	50813	0	0	0	0	0	0	0	0	0	0	0	0	88	4178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
SG17.7F.S35	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	61	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	53	106	0	0	0	0	0	0	28	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	15	0	0	0	71581	0	0	0	57	0	0	0	0	0	0	0	0	114	18351	0	0	0	0	0	0	0	0	0	0	0	0	4	0	43	192
SG17.7M.S46	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	738	0	0	0	0	0	0	0	9642	0	0	0	0	0	0	0	0	0	0	0	0	561	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732
SG17.8F.S36	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	83498	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	155
